ticket_id,company_id,channel_id,contact_id,reason
"355","3","0","2497","missing_channel_fk"
"356","3","0","2498","missing_channel_fk"
"357","3","0","1564","missing_channel_fk"
"358","3","0","1565","missing_channel_fk"
"359","3","0","2499","missing_channel_fk"
"360","3","0","1566","missing_channel_fk"
"361","3","0","1567","missing_channel_fk"
"362","3","0","1569","missing_channel_fk"
"363","3","0","1568","missing_channel_fk"
"364","3","0","1570","missing_channel_fk"
"365","3","0","2500","missing_channel_fk"
"366","3","0","2501","missing_channel_fk"
"367","3","0","2502","missing_channel_fk"
"368","3","0","2503","missing_channel_fk"
"369","3","0","2504","missing_channel_fk"
"370","3","0","2505","missing_channel_fk"
"371","3","0","2506","missing_channel_fk"
"372","3","0","2507","missing_channel_fk"
"373","3","0","1571","missing_channel_fk"
"374","3","0","1508","missing_channel_fk"
"375","3","0","1508","missing_channel_fk"
"376","3","0","2509","missing_channel_fk"
"377","3","0","2509","missing_channel_fk"
"378","3","0","2509","missing_channel_fk"
"379","3","0","1572","missing_channel_fk"
"380","3","0","1574","missing_channel_fk"
"381","3","0","2511","missing_channel_fk"
"382","3","0","2512","missing_channel_fk"
"383","3","0","1573","missing_channel_fk"
"384","3","0","1575","missing_channel_fk"
"385","3","0","1577","missing_channel_fk"
"386","3","0","1660","missing_channel_fk"
"387","3","0","1576","missing_channel_fk"
"388","3","0","2514","missing_channel_fk"
"389","3","0","1579","missing_channel_fk"
"390","3","0","1580","missing_channel_fk"
"391","3","0","1581","missing_channel_fk"
"392","3","0","1582","missing_channel_fk"
"393","3","0","2515","missing_channel_fk"
"394","3","0","2516","missing_channel_fk"
"395","3","0","2517","missing_channel_fk"
"396","3","0","1857","missing_channel_fk"
"397","3","0","1511","missing_channel_fk"
"398","3","0","1511","missing_channel_fk"
"399","3","0","2519","missing_channel_fk"
"400","3","0","1583","missing_channel_fk"
"401","3","0","1584","missing_channel_fk"
"402","3","0","2520","missing_channel_fk"
"403","3","0","1585","missing_channel_fk"
"404","3","0","1586","missing_channel_fk"
"405","3","0","2521","missing_channel_fk"
"406","3","0","1587","missing_channel_fk"
"407","3","0","2522","missing_channel_fk"
"408","3","0","1588","missing_channel_fk"
"409","3","0","1589","missing_channel_fk"
"410","3","0","2523","missing_channel_fk"
"411","3","0","2524","missing_channel_fk"
"412","3","0","1590","missing_channel_fk"
"413","3","0","1591","missing_channel_fk"
"414","3","0","1594","missing_channel_fk"
"415","3","0","2526","missing_channel_fk"
"416","3","0","1595","missing_channel_fk"
"417","3","0","1596","missing_channel_fk"
"418","3","0","2527","missing_channel_fk"
"419","3","0","2527","missing_channel_fk"
"420","3","0","2528","missing_channel_fk"
"421","3","0","1597","missing_channel_fk"
"422","3","0","1513","missing_channel_fk"
"423","3","0","2529","missing_channel_fk"
"424","3","0","1598","missing_channel_fk"
"425","3","0","1599","missing_channel_fk"
"426","3","0","2530","missing_channel_fk"
"427","3","0","1600","missing_channel_fk"
"428","3","0","2532","missing_channel_fk"
"429","3","0","2532","missing_channel_fk"
"430","3","0","1678","missing_channel_fk"
"431","3","0","1527","missing_channel_fk"
"432","3","0","1527","missing_channel_fk"
"433","3","0","1601","missing_channel_fk"
"434","3","0","1602","missing_channel_fk"
"435","3","0","1641","missing_channel_fk"
"436","3","0","1603","missing_channel_fk"
"437","3","0","2535","missing_channel_fk"
"438","3","0","1604","missing_channel_fk"
"439","3","0","2536","missing_channel_fk"
"440","3","0","1605","missing_channel_fk"
"441","3","0","1607","missing_channel_fk"
"442","3","0","1609","missing_channel_fk"
"443","3","0","1608","missing_channel_fk"
"444","3","0","1611","missing_channel_fk"
"445","3","0","1610","missing_channel_fk"
"446","3","0","1612","missing_channel_fk"
"447","3","0","1613","missing_channel_fk"
"448","3","0","2537","missing_channel_fk"
"449","3","0","2538","missing_channel_fk"
"450","3","0","1615","missing_channel_fk"
"451","3","0","2540","missing_channel_fk"
"452","3","0","2541","missing_channel_fk"
